intensity0	intensity5	intensity6	intensity7
5.6	9.2	10.8	16
5.6	10	12.8	18.4
6	12	15.2	20
6.4	14.8	18.4	20.4
6.8	17.6	21.2	18.8
7.6	20.4	22.4	16
8.4	21.2	21.6	13.6
10	20.4	19.2	11.6
12.4	18.4	16.8	10
15.6	16.4	14.8	9.2
19.6	14.8	13.6	8.8
23.6	13.6	13.2	8.8
25.6	13.2	12.8	9.2
25.2	13.2	12.8	10
22	13.6	12.8	11.6
17.6	14.8	13.6	14
14	16.8	15.2	17.2
11.2	18.8	17.6	20.4
9.2	20.8	20	22
7.2	22.8	23.6	23.2
6.8	20.8	23.2	20.8
6.4	18	21.6	18
6	14.8	18.4	15.2
5.6	12	15.2	13.6
5.6	10.4	12.4	12.8
5.6	9.2	10.8	12.4
5.6	8.4	9.6	12
5.6	8.4	9.2	12
5.6	8	8.8	12
5.6	8	9.2	12.8
5.6	8	9.2	14
5.6	8.4	10	16.4
5.6	9.2	11.2	18.8
5.6	10.4	12.8	21.6
6	12	15.2	23.2
6.4	14.4	18	22.8
6.8	17.6	21.2	20.4
7.2	20.8	24	17.2
8	23.2	24.8	14.4
9.2	24.4	24	12.4
10.8	23.2	21.6	10.8
13.6	20.8	18.8	10
17.2	18.4	16.4	9.6
21.2	16.4	15.2	9.6
25.6	15.2	14.4	10
28.4	14.8	14.4	10.8
29.2	14.8	14	12.4
27.2	15.2	14	14.4
23.2	16	14.4	17.6
18.8	17.6	16	21.2
14.8	19.6	18	24
12	22	20.8	25.6
10	23.6	23.2	25.2
8.8	24.4	25.2	22.8
8	23.2	26	19.6
7.6	20.8	24.4	17.2
7.2	17.6	21.6	15.2
6.8	14.8	18.4	14.4
6.4	12.4	15.6	14
6.4	11.2	13.6	14
6.4	10	12	14
6.4	9.6	11.2	13.6
6.4	9.2	10.4	14
6.4	9.2	10	14.8
6.4	9.2	10	16.4
6.4	9.6	10.4	18.8
6.4	10	11.2	21.6
6.4	10.8	12.4	24.4
6.4	11.6	13.6	26.4
6.8	12.8	16	26.4
6.8	15.2	18.8	24.4
7.2	18	22.4	21.2
7.6	21.2	26	17.6
8.4	24.4	28.4	14.8
9.2	26.8	28.8	12.8
10.4	27.6	27.2	11.6
12	26.4	24.4	10.8
14.8	24.4	21.2	10.8
18	21.6	18.8	10.8
22.4	19.2	17.2	11.2
26.8	17.6	16.4	12
30.4	16.8	16	13.2
32.8	16.4	16	15.2
34	16.8	15.6	19.2
30.4	17.2	16	22
25.6	18	16.8	25.6
20.4	19.6	18	28.4
16.4	22	20	30
13.2	24.8	22.8	28.8
11.2	27.2	26	26.4
10	28.8	28.8	22.8
9.2	28.4	30.4	19.6
8.4	26	30	17.6
8	22.4	27.6	16.4
7.6	19.2	24	16
7.6	16.4	20.8	15.6
7.2	14.4	17.6	15.2
7.2	12.8	15.2	15.2
7.2	11.6	13.6	15.2
7.2	10.8	12.8	16
7.2	10.4	12	16.8
7.2	10.4	12	18.8
7.2	10.8	12	21.2
7.2	10.8	12	24.4
7.2	11.2	12.4	27.6
7.6	11.6	13.2	30
7.6	12	14.4	31.2
7.6	13.2	16	30.8
7.6	14.8	18.4	28
8	16.8	21.6	24
8.4	19.2	24.8	20
8.8	22.4	28.4	16.8
9.2	26	31.6	14.8
10	29.6	33.6	13.6
10.8	32	33.6	12.8
12	32.8	32	12.4
14	31.6	28.8	12.4
16.4	29.2	25.6	12.8
19.6	26	22.8	13.2
23.6	23.2	20.8	14.4
27.6	21.2	19.6	16
32	20	18.8	18.4
35.6	19.2	18.4	21.2
38	19.2	18.4	24.8
37.6	19.2	18.4	28.4
34.4	19.6	18.8	32
29.6	20.4	18.8	34.4
24.4	22	20	34.8
19.6	24	22	32.8
16	26.8	24.4	30
13.6	29.6	27.6	26.4
12	32	30.8	23.2
10.8	33.2	33.6	20.8
10	32.8	35.2	19.6
9.2	30.8	35.2	18.8
8.8	27.6	33.2	18.4
8.8	23.6	29.6	18
8.4	20	25.6	17.6
8	17.2	21.6	17.6
8	15.6	18.4	17.6
8	14	16.4	18
8	13.2	15.2	18.8
8	12.8	14.4	20.4
8	12.4	14	22.8
8	12	14	26
8	12.4	13.6	29.6
8	12.4	13.6	32.8
8	12.4	14	37.6
8	12.4	14.4	37.6
8	13.2	15.2	36
8	14	16.4	33.2
8.4	14.8	18	29.6
8.4	16.4	20	25.6
8.4	18	22.8	22
8.8	20.4	26	19.2
9.2	23.2	29.6	17.2
9.6	26.4	33.2	15.6
10	30	36.4	14.8
10.8	33.6	38.8	14.4
11.6	36.4	39.6	14.4
12.8	37.6	38.4	14.4
14.4	37.6	36	14.8
16.4	35.6	32.4	15.6
18.8	32.8	28.8	16.8
22	29.6	25.6	18.4
26	26.8	23.6	20.8
30.4	24.8	22	23.6
35.2	22.8	21.2	26.8
39.2	22	20.8	30.4
42.4	21.6	20.8	34
44	21.6	20.8	37.6
43.6	21.6	21.2	40
40.8	22.4	21.6	40.8
36.4	23.2	22	39.6
30.8	24.8	22.8	36.8
25.6	26.8	24.4	33.2
21.6	29.2	26.4	29.2
18	32	29.2	26
15.2	34.8	32	23.6
13.6	37.2	35.2	22
12.4	38.8	38	21.2
11.6	39.2	40	20.8
10.8	37.6	41.2	20.8
10.4	34.8	40.8	20.8
10	31.2	38.4	20.8
9.6	27.2	34.8	20.4
9.2	23.6	30.4	20.4
8.8	20.4	26.4	20.8
8.8	18	23.2	21.2
8.8	16.4	20.8	22.8
8.4	15.2	18.8	24.4
8.4	14.4	17.2	27.2
8.4	14	16	30
8.4	13.2	15.2	33.2
8.4	12.8	14.8	36.4
8.4	12.8	14.8	39.6
8.4	12.8	14.8	42
8.4	13.2	15.2	42.8
8.4	13.6	15.2	42
8.4	14	15.6	39.6
8.4	14.4	16	35.6
8.4	14.8	16.8	31.6
8.8	15.2	18	27.2
8.8	16	19.2	24
9.2	17.2	21.2	21.2
9.6	18.8	23.6	19.2
9.6	20.8	26.4	18
10	23.2	30	17.2
10	26	33.2	16.4
10.4	28.8	37.2	16
10.8	32.8	40.8	16
11.6	38.4	45.6	16.4
12	40.8	46.8	16.8
12.8	43.2	46.8	17.2
13.6	44.4	45.6	18
14.8	44.4	43.2	19.2
16.4	43.2	40	20.8
18.4	40.8	36	22.8
20.8	37.6	32	25.2
23.6	34.4	29.2	28
26.8	31.2	26.8	31.2
30.8	28.4	25.2	35.2
34.8	26.4	24	39.2
39.2	25.2	23.2	42.8
43.6	24	22.8	45.6
47.2	23.6	22.8	47.2
50	23.6	22.8	47.2
51.2	23.6	23.2	46.4
50.8	24	23.6	44
48.4	24.8	24	40.4
44.4	25.6	24.4	36.4
39.6	26.8	24.8	32.4
34.4	28	26	29.2
29.6	29.6	27.2	26.8
25.6	31.6	28.8	25.2
22.4	34.4	31.2	24
19.6	37.2	33.6	23.2
17.6	40	36.8	22.8
16	42.8	40	22.4
14.8	44.8	43.2	22.4
13.6	46	46	22.4
13.2	46	48.4	22.8
12.4	44.8	49.2	22.8
12	42.4	48.8	23.2
11.6	39.2	47.2	23.2
11.2	35.6	44.4	23.6
10.8	31.6	40.8	24.4
10.4	28	37.2	25.6
10	25.2	33.2	27.2
9.6	22.8	29.6	29.2
9.6	20.8	26.4	31.6
9.6	19.2	24	34
9.2	18	22	36.8
9.2	16.8	20.4	40.4
9.2	16	19.2	44
9.2	15.6	18.4	48
9.2	15.2	18	50.4
8.8	15.2	17.6	51.6
8.8	15.2	17.2	51.6
8.8	15.2	16.8	50
8.8	14.8	16.8	46.8
8.8	14.8	16.8	42.8
8.8	14.8	16.8	38.4
8.8	14.8	17.2	34.4
8.8	14.8	17.2	30.8
8.8	14.8	17.2	27.6
8.8	15.2	17.6	24.8
9.2	15.6	18	22.8
9.2	16	18.4	21.2
9.2	16.8	19.6	20
9.2	17.2	20.8	19.2
9.2	18	22.4	18.8
9.2	18.8	24	18.4
9.2	20.4	26	18
9.2	21.6	28.4	18
9.2	24	32.8	18
9.2	25.6	35.2	18
9.6	28	38	18.4
9.6	30.4	41.2	18.4
10	33.6	44.8	19.2
10.4	36.8	48	20
10.8	40	50.8	20.8
11.2	43.2	53.2	21.6
11.6	46.4	54.4	23.2
12	49.2	55.2	24.8
12.8	51.2	54.8	26.8
13.6	52.4	53.6	29.2
14.4	52.8	51.2	31.6
15.6	52	48.4	34.8
17.2	50.4	44.8	38
18.8	48	41.6	41.2
20.8	45.2	38	44.8
23.2	42.4	34.8	48
25.6	39.6	32.8	51.2
28.4	36.8	30.8	53.6
31.6	34.8	29.2	55.2
34.8	32.8	28	56
38.4	30.8	27.2	55.6
42.4	29.6	26.8	54
46.4	28.8	26.8	52
50.4	28.4	26.4	50
54.4	28	26.4	47.2
57.6	27.6	26.4	43.6
60.4	27.2	26.4	40.4
62	27.2	26.4	37.2
63.2	27.2	26.4	34.4
63.6	27.2	26.4	32
62.8	27.6	26.4	30.4
60.8	27.6	26.4	28.8
58	28	26.8	28
54.4	28.4	26.8	27.2
50.4	29.2	26.8	26.4
45.6	30	27.2	26
41.2	30.8	28	26
37.2	32.4	29.2	26
33.6	34	30.4	26
30.4	35.6	31.6	26
27.6	37.6	33.2	25.6
25.2	39.6	34.8	25.6
23.2	42	36.8	25.6
21.6	44.4	39.2	25.6
20.4	46.8	42	25.6
18.8	49.2	44.4	25.6
17.6	51.6	47.2	25.6
16.4	53.2	50	25.6
15.6	54.8	52.4	26
14.8	55.6	54.8	26.4
14	56	56.8	26.8
13.2	56	58.4	27.6
12.8	55.2	59.6	28.4
12.4	54	60	29.6
12	52.4	60	31.2
11.6	50.4	59.6	32.8
11.2	48	58.4	34.8
11.2	45.2	56.4	37.2
11.2	42.4	54	39.6
10.8	39.6	51.6	42.4
10.4	36.8	49.2	45.6
10.4	34	46	48.8
10	30.4	41.6	53.6
9.6	28.8	39.2	55.2
9.6	27.2	36.8	57.2
9.6	25.6	34.4	58.8
9.6	24.4	32.4	60
9.6	23.2	30	61.2
9.6	22	28.4	62
9.2	20.8	26.8	62
9.2	20	25.2	61.2
8.8	19.2	24	60
8.8	18.4	22.8	57.6
8.8	18	21.6	54.8
8.8	17.2	20.8	51.6
8.4	16.8	20	48.8
8.4	16.4	19.2	46.4
8.4	16	18.8	44.4
8.4	15.6	18.4	42.4
8.4	15.2	18	40
8.4	15.2	18	37.6
8.4	14.8	17.6	35.2
8.4	14.8	17.6	33.2
8.4	14.8	17.2	31.2
8.4	14.8	16.8	29.6
8.4	14.4	16.8	28
8.4	14.4	16.8	26.8
8.4	14.4	16.8	25.6
8.4	14.4	16.8	24.8
8.4	14.4	16.8	24
8.4	14.4	16.8	23.2
8.4	14.4	16.8	22.4
8.8	14.4	16.8	21.6
8.4	14.4	16.4	20.8
8.4	14.4	16.4	20.4
8.4	14.4	16.4	19.6
8.4	14.4	16.4	19.2
8.4	14.4	16.8	18.8
8.4	14.4	16.8	18.8
8.4	14.4	16.8	18.4
8.4	14.4	16.8	18.4
8	14.4	16.8	18.4
8	14.4	17.2	18.4
8	14.4	17.2	18
8	14.4	17.2	17.6
8	14.4	17.6	17.6
8	14.8	17.6	17.6
8	14.8	18	17.6
8	15.2	18.4	17.6
8	15.2	18.8	17.6
8	15.6	19.2	18
8	15.6	19.6	18
8.4	16	20	18.4
8.4	16.4	20.4	18.8
8.4	16.8	20.8	18.8
8.8	17.2	21.2	18.8
8.8	17.2	21.6	18.8
8.8	17.6	22	19.2
8.8	18	22.4	20
8.8	18.4	23.2	20.4
8.8	18.4	23.6	20.8
8.8	18.4	24	21.2
8.8	18.8	24.8	21.6
8.8	18.8	25.6	22
8.8	19.6	26.4	22.8
8.8	20	27.2	23.2
9.2	20.8	28.4	24.4
8.8	20.8	28.8	24.8
8.8	21.2	29.6	25.2
8.8	21.6	30	25.2
8.8	22	30.8	26
8.8	22.4	31.6	26.8
8.8	23.2	32.8	28
8.8	23.6	33.6	28.8
9.2	24	34.4	30
9.2	24.4	35.2	30.8
9.2	24.8	36.4	31.6
9.2	25.6	36.8	32.4
9.2	26	38	33.6
9.2	26.4	38.8	34.4
9.2	26.8	39.6	35.6
9.2	27.2	40.4	36.8
9.2	28	41.2	38
9.2	28.8	42	39.2
9.2	29.2	42.8	40
9.2	29.6	43.2	41.2
9.6	30	44	42.4
9.6	30.4	44.8	43.6
9.6	30.8	45.6	44.8
9.6	31.2	46.4	46
9.6	32	47.2	47.2
9.6	32.8	47.6	48.4
9.6	33.2	48.4	49.6
9.6	33.6	48.8	50.4
9.6	34.4	49.6	51.6
9.6	34.8	50	52.8
9.6	35.2	50.4	53.6
9.6	35.2	50.8	54.4
9.6	35.2	50.8	55.2
9.6	35.6	51.2	55.6
9.6	36	51.6	56
9.6	36.4	52.4	56.8
9.6	36.8	52.8	57.6
9.6	36.8	53.2	58.4
10	37.2	53.2	58.8
