intensity1	intensity2	intensity3	intensity4
8.4	6.4	8.8	4.8
8	6.4	10.4	4.8
7.6	6.8	11.6	4.8
7.2	8	12.8	4.8
7.2	9.6	14.4	4.8
6.8	11.2	16	4.8
7.2	12.4	17.6	5.2
8	14	18	5.2
9.2	15.6	18	5.6
10.8	17.6	17.2	5.6
12	18.4	16	5.6
13.2	18.4	14.8	6
15.6	17.6	14	6.8
17.6	16.4	12.8	8.8
18	14.8	11.6	11.6
16.8	13.2	10.4	15.2
15.2	11.6	9.2	17.2
13.6	10.4	8.4	16
12.4	9.2	8	13.2
11.6	8.4	7.2	10.4
11.2	8	6.8	8.4
10.8	8	6.8	7.2
10.4	7.6	6.8	6.4
10	7.2	7.2	6
9.6	7.2	7.6	5.6
8.8	7.2	8.4	5.2
8.4	7.2	10	5.2
8	7.2	11.6	5.2
7.6	7.6	12.8	4.8
7.2	8.8	14	5.2
7.2	10.4	16	5.2
7.2	12	17.6	5.2
7.6	13.2	19.2	5.2
8.4	14.8	19.6	5.2
10	16.8	19.2	5.6
11.6	18.8	18.4	5.6
12.8	20	17.2	6
14	20	16	6.8
16.4	19.2	14.4	8
18.4	17.6	13.2	9.6
20	16.4	12.4	12.4
20.4	14.8	11.2	15.6
19.6	13.6	10	19.2
18.4	12.4	9.2	20.8
16.8	11.2	8.8	20
15.6	10.4	8.4	16.8
13.6	9.6	8.4	12
12.8	8.8	8	9.6
11.6	8.4	7.6	8
10.8	8	7.6	6.8
10	7.6	7.6	6
9.2	7.2	8	5.6
8.8	7.2	8.8	5.6
8	7.2	10	5.2
7.6	7.6	11.6	5.2
7.2	8	13.2	5.2
7.2	8.8	14.4	5.2
7.2	10	16	5.2
7.2	11.6	18.4	5.2
7.6	13.2	20.4	5.2
8.4	14.8	21.2	5.2
9.6	16.8	20.8	5.2
11.2	19.2	20	5.6
12.8	21.2	18.8	5.6
14.4	21.6	17.2	6
16.4	21.2	16	6.4
19.2	20	14.4	7.2
21.6	18.4	13.2	8.4
22.4	16.8	12.4	10.4
22	15.2	11.2	13.6
20.8	14	10.4	17.6
19.2	12.8	9.6	21.2
17.6	11.6	9.2	23.2
15.6	10.4	8.8	22.4
14.4	9.6	8.4	19.2
13.2	8.8	8	15.2
12	8.4	8	12
10.8	8	7.6	9.6
10	7.6	8	8.4
9.2	7.2	8	7.2
8.8	7.2	8.4	6.4
8.4	7.2	9.6	6
8	7.2	11.2	5.6
7.6	7.6	12.8	5.6
7.2	8.4	14.4	5.6
7.2	9.2	15.6	5.6
7.2	10.8	17.2	5.6
7.2	12.8	19.6	5.6
8	14.4	22	5.6
8.8	15.6	23.2	5.6
10.4	17.6	23.2	5.6
12	20	22	5.6
14	22.4	20.8	5.6
15.2	23.6	19.2	6
16.8	23.2	17.6	6.4
19.2	22	16	6.8
22	20.4	14.4	7.6
24	18.8	13.2	8.4
24	17.2	12.4	10
22.8	15.6	11.2	12.4
21.2	14.4	10.4	15.6
19.6	13.2	9.6	19.6
18	12	9.2	23.6
16.4	11.2	8.8	25.6
15.2	10.4	8.4	25.2
13.6	9.6	8	22
12.4	9.2	8	17.6
11.6	8.8	8	14
10.8	8.4	8	11.2
10	8	8	9.2
9.2	7.6	8.8	7.2
8.8	7.2	9.6	6.8
8.4	7.6	10.8	6.4
8	8	12.8	6
7.6	8.4	14.8	5.6
7.6	9.2	16	5.6
7.6	10.4	17.2	5.6
7.6	12	19.2	5.6
8	14	22	5.6
8.8	15.6	24	5.6
9.6	17.2	24.8	5.6
10.8	18.8	24.4	5.6
12.8	21.6	23.2	5.6
14.8	24	21.6	5.6
16.4	25.6	20	5.6
17.6	25.6	18.4	6
20	24	16.8	6.4
22.8	22	15.6	6.8
25.2	20	14.4	7.2
26	18.4	13.2	8
25.6	16.8	12.4	9.2
24	15.6	11.6	10.8
21.6	14.4	10.8	13.6
19.6	13.2	10	17.2
17.6	12	9.6	21.2
16	11.2	9.2	25.6
14.8	10.4	8.8	28.4
13.6	10	8.4	29.2
12.4	9.6	8.4	27.2
11.6	9.2	8.4	23.2
10.8	8.8	8.4	18.8
10	8.8	8.4	14.8
9.6	8.8	8.8	12
9.2	8.4	9.6	10
8.8	8.4	10.4	8.8
8.4	8.4	12	8
8.4	8.4	14	7.6
8.4	8.8	15.6	7.2
8.4	9.6	16.8	6.8
8.4	10.8	18	6.4
8.8	12.8	19.2	6.4
8.8	14.8	21.6	6.4
9.2	16.4	24.4	6.4
10.4	17.6	26.4	6.4
12	18.8	26.8	6.4
13.6	20.8	26	6.4
15.6	23.6	24.4	6.4
17.2	26	22.4	6.4
18.4	27.2	20.8	6.4
19.6	27.2	18.8	6.4
22.4	26	17.2	6.8
25.2	24	15.6	6.8
27.6	21.6	14.4	7.2
28.4	19.6	13.2	7.6
27.6	18	12.4	8.4
25.6	16.4	11.6	9.2
23.2	14.8	10.8	10.4
21.2	13.6	10.4	12
19.6	12.8	10	14.8
18	12	9.6	18
16.4	11.2	9.2	22.4
14.8	10.4	8.8	26.8
13.6	10	8.4	30.4
12.4	9.6	8.4	32.8
11.2	9.2	8.8	34
10.8	8.8	8.4	30.4
10.4	8.8	8.8	25.6
10	8.8	8.8	20.4
